Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2026-05-01,00:00,12,0.0,0.0,0.0,0.0,-1223.1,-1.223,1223.1,1.223,0.0,0.0,21.0,21,21
2026-05-01,01:00,12,0.0,0.0,1.7,0.002,-1166.3,-1.166,1164.7,1.165,0.0,0.0,21.0,21,21
2026-05-01,02:00,12,0.0,0.0,2.1,0.002,-971.2,-0.971,969.1,0.969,0.0,0.0,21.0,21,21
2026-05-01,03:00,12,0.0,0.0,0.0,0.0,-1312.5,-1.312,1312.5,1.312,0.0,0.0,21.0,21,21
2026-05-01,04:00,12,0.0,0.0,0.0,0.0,-1503.5,-1.504,1503.5,1.504,0.0,0.0,21.0,21,21
2026-05-01,05:00,12,8.2,0.008,0.0,0.0,-822.1,-0.822,830.3,0.83,0.0,0.0,21.5,21,22
2026-05-01,06:00,12,300.9,0.301,1.2,0.001,-527.9,-0.528,827.6,0.828,0.0,0.0,22.0,22,22
2026-05-01,07:00,12,923.2,0.923,145.2,0.145,-224.3,-0.224,1002.3,1.002,0.0,0.0,22.4,22,23
2026-05-01,08:00,12,1582.6,1.583,403.6,0.404,-115.0,-0.115,1294.0,1.294,0.0,0.0,24.7,23,26
2026-05-01,09:00,12,2477.6,2.478,1161.8,1.162,-63.2,-0.063,1379.0,1.379,0.0,0.0,30.3,27,35
2026-05-01,10:00,12,3338.8,3.339,1873.2,1.873,-118.8,-0.119,1584.2,1.584,0.0,0.0,41.5,36,47
2026-05-01,11:00,12,4663.7,4.664,3149.8,3.15,-46.7,-0.047,1560.6,1.561,0.0,0.0,57.9,49,67
2026-05-01,12:00,12,4667.6,4.668,2657.9,2.658,-41.4,-0.041,2051.1,2.051,0.0,0.0,76.8,68,85
2026-05-01,13:00,12,4269.2,4.269,1944.8,1.945,1070.2,1.07,1254.2,1.254,0.0,0.0,94.9,87,100
2026-05-01,14:00,12,3287.9,3.288,0.0,0.0,2021.3,2.021,1266.6,1.267,0.0,0.0,100.0,100,100
2026-05-01,15:00,12,1731.8,1.732,-51.8,-0.052,467.1,0.467,1316.5,1.317,0.0,0.0,100.0,100,100
2026-05-01,16:00,11,844.5,0.774,-927.1,-0.85,-33.5,-0.031,1805.2,1.655,0.0,0.0,97.6,94,99
2026-05-01,17:00,12,205.8,0.206,-1835.6,-1.836,-33.3,-0.033,2074.7,2.075,0.0,0.0,86.6,81,93
2026-05-01,18:00,12,10.6,0.011,-1715.5,-1.716,-56.5,-0.057,1782.6,1.783,0.0,0.0,73.6,68,80
2026-05-01,19:00,12,0.0,0.0,-1237.6,-1.238,-88.9,-0.089,1326.5,1.327,0.0,0.0,62.9,59,67
2026-05-01,20:00,12,0.0,0.0,-1172.9,-1.173,-101.0,-0.101,1273.9,1.274,0.0,0.0,54.6,51,58
2026-05-01,21:00,12,0.0,0.0,-1126.3,-1.126,-107.7,-0.108,1234.0,1.234,0.0,0.0,46.3,43,50
2026-05-01,22:00,12,0.0,0.0,-1129.7,-1.13,-111.8,-0.112,1241.5,1.242,0.0,0.0,38.5,35,42
2026-05-01,23:00,12,0.0,0.0,-1340.8,-1.341,-105.0,-0.105,1445.8,1.446,0.0,0.0,29.9,27,34
2026-05-02,00:00,12,0.0,0.0,-743.8,-0.744,-109.1,-0.109,852.8,0.853,0.0,0.0,24.3,22,27
2026-05-02,01:00,12,0.0,0.0,-198.3,-0.198,-706.8,-0.707,905.2,0.905,0.0,0.0,21.1,21,22
2026-05-02,02:00,12,0.0,0.0,3.0,0.003,-831.2,-0.831,828.2,0.828,0.0,0.0,21.0,21,21
2026-05-02,03:00,12,0.0,0.0,0.8,0.001,-1339.7,-1.34,1338.8,1.339,0.0,0.0,21.0,21,21
2026-05-02,04:00,11,0.0,0.0,0.0,0.0,-1315.2,-1.206,1315.2,1.206,0.0,0.0,21.0,21,21
2026-05-02,05:00,12,17.4,0.017,1.7,0.002,-746.1,-0.746,761.8,0.762,0.0,0.0,21.0,21,21
2026-05-02,06:00,12,375.2,0.375,0.8,0.001,-373.5,-0.373,747.9,0.748,0.0,0.0,21.0,21,21
2026-05-02,07:00,12,1240.5,1.24,273.2,0.273,-56.5,-0.057,1023.8,1.024,0.0,0.0,21.8,21,23
2026-05-02,08:00,12,2118.0,2.118,1078.7,1.079,-41.5,-0.042,1080.8,1.081,0.0,0.0,26.5,24,30
2026-05-02,09:00,12,2806.4,2.806,1181.9,1.182,-151.2,-0.151,1775.7,1.776,0.0,0.0,33.7,31,37
2026-05-02,10:00,12,3422.0,3.422,1770.4,1.77,-45.3,-0.045,1696.9,1.697,0.0,0.0,43.8,38,50
2026-05-02,11:00,12,4363.8,4.364,2591.5,2.591,-68.4,-0.068,1840.8,1.841,0.0,0.0,58.7,51,67
2026-05-02,12:00,12,4778.9,4.779,2896.9,2.897,-46.9,-0.047,1928.9,1.929,0.0,0.0,77.9,69,86
2026-05-02,13:00,12,4028.2,4.028,1885.2,1.885,466.2,0.466,1676.8,1.677,0.0,0.0,93.3,87,99
2026-05-02,14:00,12,3178.1,3.178,127.3,0.127,1278.6,1.279,1772.2,1.772,0.0,0.0,99.9,99,100
2026-05-02,15:00,12,1870.2,1.87,-256.8,-0.257,30.1,0.03,2096.8,2.097,0.0,0.0,99.6,98,100
