Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2026-06-01,00:00,11,0.0,0.0,0.0,0.0,-1149.5,-1.054,1149.5,1.054,0.0,0.0,11.0,11,11
2026-06-01,01:00,12,0.0,0.0,0.0,0.0,-1224.4,-1.224,1224.4,1.224,0.0,0.0,11.0,11,11
2026-06-01,02:00,12,0.0,0.0,3.8,0.004,-858.7,-0.859,854.9,0.855,0.0,0.0,11.0,11,11
2026-06-01,03:00,12,0.0,0.0,0.0,0.0,-689.2,-0.689,689.2,0.689,0.0,0.0,11.0,11,11
2026-06-01,04:00,12,0.0,0.0,0.0,0.0,-632.4,-0.632,632.4,0.632,0.0,0.0,11.0,11,11
2026-06-01,05:00,12,52.6,0.053,0.0,0.0,-528.0,-0.528,580.6,0.581,0.0,0.0,11.0,11,11
2026-06-01,06:00,12,515.9,0.516,31.8,0.032,-169.1,-0.169,653.2,0.653,0.0,0.0,11.2,11,12
2026-06-01,07:00,12,1767.9,1.768,1021.8,1.022,0.0,0.0,746.1,0.746,0.0,0.0,14.8,12,18
2026-06-01,08:00,12,2425.4,2.425,1350.7,1.351,-49.8,-0.05,1124.6,1.125,0.0,0.0,22.8,19,27
2026-06-01,09:00,12,2287.0,2.287,750.1,0.75,-168.9,-0.169,1705.8,1.706,0.0,0.0,28.6,27,31
2026-06-01,10:00,12,2942.5,2.942,1097.7,1.098,-59.3,-0.059,1904.2,1.904,0.0,0.0,36.3,32,39
2026-06-01,11:00,11,1104.9,1.013,-867.4,-0.795,-57.3,-0.052,2029.5,1.86,0.0,0.0,35.8,33,39
2026-06-01,12:00,12,1254.8,1.255,-227.2,-0.227,-52.8,-0.053,1534.8,1.535,0.0,0.0,30.9,30,32
2026-06-01,13:00,12,2356.6,2.357,537.9,0.538,-53.7,-0.054,1872.3,1.872,0.0,0.0,32.0,31,34
2026-06-01,14:00,12,1436.1,1.436,-248.2,-0.248,-40.1,-0.04,1724.4,1.724,0.0,0.0,34.2,33,35
2026-06-01,15:00,12,393.4,0.393,-982.6,-0.983,-37.3,-0.037,1413.3,1.413,0.0,0.0,29.1,26,32
2026-06-01,16:00,12,307.1,0.307,-973.8,-0.974,-33.5,-0.034,1314.3,1.314,0.0,0.0,21.2,18,25
2026-06-01,17:00,12,130.2,0.13,-938.2,-0.938,-13.4,-0.013,1081.8,1.082,0.0,0.0,14.5,11,18
2026-06-01,18:00,12,9.5,0.009,1.7,0.002,-1127.0,-1.127,1134.8,1.135,0.0,0.0,10.9,10,11
2026-06-01,19:00,12,0.0,0.0,2.9,0.003,-1275.8,-1.276,1272.9,1.273,0.0,0.0,11.0,11,11
2026-06-01,20:00,12,0.0,0.0,2.5,0.003,-1187.8,-1.188,1185.3,1.185,0.0,0.0,11.0,11,11
2026-06-01,21:00,12,0.0,0.0,1.2,0.001,-1537.4,-1.537,1536.2,1.536,0.0,0.0,11.0,11,11
2026-06-01,22:00,12,0.0,0.0,1.2,0.001,-1139.2,-1.139,1138.0,1.138,0.0,0.0,11.0,11,11
2026-06-01,23:00,11,0.0,0.0,0.0,0.0,-887.9,-0.814,887.9,0.814,0.0,0.0,11.0,11,11
2026-06-02,00:00,12,0.0,0.0,3.3,0.003,-1015.8,-1.016,1012.5,1.012,0.0,0.0,11.0,11,11
2026-06-02,01:00,11,0.0,0.0,0.0,0.0,-1068.4,-0.979,1068.4,0.979,0.0,0.0,11.0,11,11
2026-06-02,02:00,12,0.0,0.0,0.0,0.0,-622.8,-0.623,622.8,0.623,0.0,0.0,11.0,11,11
2026-06-02,03:00,12,0.0,0.0,0.0,0.0,-567.4,-0.567,567.4,0.567,0.0,0.0,11.0,11,11
2026-06-02,04:00,12,0.0,0.0,6.4,0.006,-716.6,-0.717,710.2,0.71,0.0,0.0,11.0,11,11
2026-06-02,05:00,12,36.9,0.037,0.0,0.0,-636.4,-0.636,673.3,0.673,0.0,0.0,11.3,11,12
2026-06-02,06:00,12,681.6,0.682,172.6,0.173,-148.8,-0.149,657.8,0.658,0.0,0.0,12.1,12,13
2026-06-02,07:00,12,1016.5,1.016,358.5,0.358,-12.1,-0.012,670.1,0.67,0.0,0.0,13.7,13,15
2026-06-02,08:00,12,1320.0,1.32,555.5,0.555,-50.0,-0.05,814.5,0.815,0.0,0.0,16.6,15,19
2026-06-02,09:00,12,2120.9,2.121,988.2,0.988,-91.9,-0.092,1224.6,1.225,0.0,0.0,21.9,19,26
2026-06-02,10:00,12,2796.6,2.797,575.6,0.576,-4088.8,-4.089,6309.8,6.31,0.0,0.0,29.2,26,30
2026-06-02,11:00,11,2406.7,2.206,1.9,0.002,-6669.2,-6.113,9074.0,8.318,0.0,0.0,30.0,30,30
2026-06-02,12:00,12,1351.6,1.352,0.0,0.0,-7130.8,-7.131,8482.4,8.482,0.0,0.0,30.0,30,30
2026-06-02,13:00,12,1992.4,1.992,610.6,0.611,-57.7,-0.058,1439.5,1.44,0.0,0.0,31.8,30,34
2026-06-02,14:00,12,2058.8,2.059,539.1,0.539,-41.6,-0.042,1561.3,1.561,0.0,0.0,36.4,34,39
2026-06-02,15:00,12,2082.0,2.082,731.4,0.731,-42.8,-0.043,1393.3,1.393,0.0,0.0,41.7,39,44
2026-06-02,16:00,12,1460.5,1.461,36.2,0.036,-36.2,-0.036,1460.6,1.461,0.0,0.0,45.0,44,46
2026-06-02,17:00,12,342.9,0.343,-1084.5,-1.085,-34.8,-0.035,1462.2,1.462,0.0,0.0,39.2,35,43
2026-06-02,18:00,12,17.7,0.018,-1821.7,-1.822,-36.2,-0.036,1875.6,1.876,0.0,0.0,27.8,23,34
2026-06-02,19:00,12,0.0,0.0,-981.3,-0.981,-99.7,-0.1,1081.0,1.081,0.0,0.0,18.8,15,22
2026-06-02,20:00,11,0.0,0.0,-622.2,-0.57,-781.4,-0.716,1403.5,1.287,0.0,0.0,11.7,11,14
2026-06-02,21:00,12,0.0,0.0,0.0,0.0,-1789.5,-1.79,1789.5,1.79,0.0,0.0,11.0,11,11
2026-06-02,22:00,12,0.0,0.0,1.7,0.002,-1957.5,-1.958,1955.8,1.956,0.0,0.0,11.0,11,11
2026-06-02,23:00,11,0.0,0.0,0.0,0.0,-1294.5,-1.187,1294.5,1.187,0.0,0.0,11.0,11,11
2026-06-03,00:00,12,0.0,0.0,0.0,0.0,-1088.9,-1.089,1088.9,1.089,0.0,0.0,11.0,11,11
2026-06-03,01:00,12,0.0,0.0,2.1,0.002,-888.3,-0.888,886.2,0.886,0.0,0.0,11.0,11,11
2026-06-03,02:00,12,0.0,0.0,2.9,0.003,-673.2,-0.673,670.2,0.67,0.0,0.0,11.0,11,11
