Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2025-12-01,00:00,12,0.0,0.0,-665.8,-0.666,-89.0,-0.089,754.8,0.755,0.0,0.0,23.2,21,26
2025-12-01,01:00,12,0.0,0.0,0.0,0.0,-666.1,-0.666,666.1,0.666,0.0,0.0,20.0,20,20
2025-12-01,02:00,11,0.0,0.0,0.0,0.0,-633.7,-0.581,633.7,0.581,0.0,0.0,20.0,20,20
2025-12-01,03:00,12,0.0,0.0,0.0,0.0,-488.5,-0.488,488.5,0.488,0.0,0.0,19.1,19,20
2025-12-01,04:00,12,0.0,0.0,0.0,0.0,-456.2,-0.456,456.2,0.456,0.0,0.0,19.0,19,19
2025-12-01,05:00,12,0.0,0.0,0.0,0.0,-431.9,-0.432,431.9,0.432,0.0,0.0,18.2,18,19
2025-12-01,06:00,12,128.3,0.128,-15.7,-0.016,-384.3,-0.384,528.3,0.528,0.0,0.0,18.0,18,18
2025-12-01,07:00,12,672.3,0.672,146.3,0.146,-270.7,-0.271,796.7,0.797,0.0,0.0,18.5,18,19
2025-12-01,08:00,12,1486.7,1.487,559.3,0.559,-95.7,-0.096,1023.0,1.023,0.0,0.0,20.5,19,22
2025-12-01,09:00,12,1693.4,1.693,910.5,0.91,-99.8,-0.1,882.8,0.883,0.0,0.0,25.6,23,28
2025-12-01,10:00,12,2216.3,2.216,1281.8,1.282,-101.1,-0.101,1035.7,1.036,0.0,0.0,33.2,29,37
2025-12-01,11:00,12,2534.8,2.535,1576.2,1.576,-93.0,-0.093,1051.5,1.052,0.0,0.0,42.3,38,48
2025-12-01,12:00,12,2613.2,2.613,1743.5,1.744,-93.0,-0.093,962.8,0.963,0.0,0.0,55.2,49,61
2025-12-01,13:00,11,3212.9,2.945,2106.6,1.931,-105.7,-0.097,1212.0,1.111,0.0,0.0,70.3,63,76
2025-12-01,14:00,10,2031.3,1.693,-1470.6,-1.226,-274.1,-0.228,3776.0,3.147,0.0,0.0,75.8,65,80
2025-12-01,15:00,11,1145.5,1.05,-6611.9,-6.061,-1440.6,-1.321,9198.1,8.432,0.0,0.0,37.2,16,61
2025-12-01,16:00,12,781.2,0.781,0.0,0.0,-7851.8,-7.852,8632.9,8.633,0.0,0.0,15.9,15,16
2025-12-01,17:00,12,132.9,0.133,0.0,0.0,-3808.2,-3.808,3941.2,3.941,0.0,0.0,16.0,16,16
2025-12-01,18:00,12,0.0,0.0,0.0,0.0,-1209.7,-1.21,1209.7,1.21,0.0,0.0,15.3,15,16
2025-12-01,19:00,12,0.0,0.0,0.0,0.0,-954.6,-0.955,954.6,0.955,0.0,0.0,15.0,15,15
2025-12-01,20:00,12,0.0,0.0,0.0,0.0,-953.4,-0.953,953.4,0.953,0.0,0.0,14.5,14,15
2025-12-01,21:00,12,0.0,0.0,0.0,0.0,-958.8,-0.959,958.8,0.959,0.0,0.0,14.0,14,14
2025-12-01,22:00,10,0.0,0.0,0.0,0.0,-921.5,-0.768,921.5,0.768,0.0,0.0,13.7,13,14
2025-12-01,23:00,11,0.0,0.0,0.0,0.0,-1142.2,-1.047,1142.2,1.047,0.0,0.0,13.0,13,13
2025-12-02,00:00,12,0.0,0.0,0.0,0.0,-1055.1,-1.055,1055.1,1.055,0.0,0.0,12.9,12,13
2025-12-02,01:00,12,0.0,0.0,0.0,0.0,-849.2,-0.849,849.2,0.849,0.0,0.0,12.0,12,12
2025-12-02,02:00,11,0.0,0.0,0.0,0.0,-688.5,-0.631,688.5,0.631,0.0,0.0,12.0,12,12
2025-12-02,03:00,12,0.0,0.0,0.0,0.0,-530.3,-0.53,530.3,0.53,0.0,0.0,11.1,11,12
2025-12-02,04:00,12,0.0,0.0,0.0,0.0,-530.7,-0.531,530.7,0.531,0.0,0.0,11.0,11,11
2025-12-02,05:00,12,0.0,0.0,0.0,0.0,-378.9,-0.379,378.9,0.379,0.0,0.0,10.2,10,11
2025-12-02,06:00,12,102.9,0.103,6.4,0.006,-287.0,-0.287,383.5,0.384,0.0,0.0,10.0,10,10
2025-12-02,07:00,12,644.3,0.644,320.7,0.321,-425.2,-0.425,748.9,0.749,0.0,0.0,10.7,10,12
2025-12-02,08:00,12,1194.1,1.194,577.9,0.578,-85.1,-0.085,701.2,0.701,0.0,0.0,14.2,13,17
2025-12-02,09:00,12,1763.3,1.763,943.8,0.944,-552.4,-0.552,1372.0,1.372,0.0,0.0,19.6,17,21
2025-12-02,10:00,12,3447.0,3.447,2139.6,2.14,-97.0,-0.097,1404.4,1.404,0.0,0.0,27.8,23,35
2025-12-02,11:00,12,4303.2,4.303,3327.3,3.327,-97.0,-0.097,1072.9,1.073,0.0,0.0,47.1,37,58
2025-12-02,12:00,12,4071.2,4.071,3216.8,3.217,-94.3,-0.094,948.8,0.949,0.0,0.0,70.4,60,80
2025-12-02,13:00,12,3013.5,3.014,2193.1,2.193,-95.7,-0.096,916.1,0.916,0.0,0.0,90.1,82,96
2025-12-02,14:00,12,2220.4,2.22,-3912.7,-3.913,-683.9,-0.684,6817.0,6.817,0.0,0.0,87.7,68,99
2025-12-02,15:00,12,1264.6,1.265,-6706.3,-6.706,-1691.9,-1.692,9662.8,9.663,0.0,0.0,41.3,19,64
2025-12-02,16:00,12,433.5,0.433,9.5,0.009,-8712.6,-8.713,9136.6,9.137,0.0,0.0,15.8,15,16
2025-12-02,17:00,12,64.5,0.065,0.0,0.0,-1312.5,-1.312,1377.0,1.377,0.0,0.0,16.0,16,16
2025-12-02,18:00,12,0.0,0.0,0.0,0.0,-1167.5,-1.167,1167.5,1.167,0.0,0.0,15.1,15,16
2025-12-02,19:00,12,0.0,0.0,0.0,0.0,-1597.1,-1.597,1597.1,1.597,0.0,0.0,15.0,15,15
