Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2026-03-01,00:00,12,0.0,0.0,3.0,0.003,-708.1,-0.708,705.1,0.705,0.0,0.0,22.0,22,22
2026-03-01,01:00,12,0.0,0.0,0.0,0.0,-588.8,-0.589,588.8,0.589,0.0,0.0,22.0,22,22
2026-03-01,02:00,12,0.0,0.0,0.0,0.0,-583.2,-0.583,583.2,0.583,0.0,0.0,22.0,22,22
2026-03-01,03:00,11,0.0,0.0,0.0,0.0,-676.5,-0.62,676.5,0.62,0.0,0.0,22.0,22,22
2026-03-01,04:00,12,0.0,0.0,1.2,0.001,-580.7,-0.581,579.4,0.579,0.0,0.0,22.0,22,22
2026-03-01,05:00,12,0.0,0.0,0.0,0.0,-579.5,-0.58,579.5,0.58,0.0,0.0,22.0,22,22
2026-03-01,06:00,12,50.4,0.05,0.0,0.0,-483.2,-0.483,533.7,0.534,0.0,0.0,22.0,22,22
2026-03-01,07:00,12,521.6,0.522,143.9,0.144,-551.1,-0.551,928.8,0.929,0.0,0.0,22.3,22,23
2026-03-01,08:00,12,1599.0,1.599,1239.3,1.239,-5.3,-0.005,365.0,0.365,0.0,0.0,26.9,24,31
2026-03-01,09:00,12,2447.9,2.448,2094.8,2.095,0.0,0.0,353.2,0.353,0.0,0.0,38.8,32,46
2026-03-01,10:00,12,3061.4,3.061,2738.6,2.739,-6.8,-0.007,329.6,0.33,0.0,0.0,56.8,47,66
2026-03-01,11:00,12,3454.2,3.454,3093.5,3.094,0.0,0.0,360.8,0.361,0.0,0.0,77.9,68,88
2026-03-01,12:00,12,4118.3,4.118,1227.5,1.228,2433.2,2.433,457.7,0.458,0.0,0.0,96.3,90,100
2026-03-01,13:00,12,3762.4,3.762,0.0,0.0,3277.2,3.277,485.2,0.485,0.0,0.0,100.0,100,100
2026-03-01,14:00,12,3331.0,3.331,0.0,0.0,2944.0,2.944,437.7,0.438,0.0,0.0,100.0,100,100
2026-03-01,15:00,11,1860.1,1.705,-6757.9,-6.195,-225.5,-0.207,8843.5,8.107,0.0,0.0,79.3,58,99
2026-03-01,16:00,12,871.6,0.872,-5040.7,-5.041,-2815.4,-2.815,8727.7,8.728,0.0,0.0,31.8,20,54
2026-03-01,17:00,12,161.3,0.161,0.0,0.0,-3674.2,-3.674,3835.5,3.836,0.0,0.0,21.0,21,21
2026-03-01,18:00,12,4.6,0.005,0.0,0.0,-1418.3,-1.418,1422.9,1.423,0.0,0.0,21.0,21,21
2026-03-01,19:00,12,0.0,0.0,4.2,0.004,-1117.4,-1.117,1113.2,1.113,0.0,0.0,21.0,21,21
2026-03-01,20:00,12,0.0,0.0,0.0,0.0,-1055.0,-1.055,1055.0,1.055,0.0,0.0,21.0,21,21
2026-03-01,21:00,12,0.0,0.0,0.0,0.0,-1052.4,-1.052,1052.4,1.052,0.0,0.0,21.0,21,21
2026-03-01,22:00,12,0.0,0.0,0.0,0.0,-1027.9,-1.028,1027.9,1.028,0.0,0.0,21.0,21,21
2026-03-01,23:00,12,0.0,0.0,0.0,0.0,-983.1,-0.983,983.1,0.983,0.0,0.0,21.4,21,22
2026-03-02,00:00,12,0.0,0.0,4.3,0.004,-939.9,-0.94,935.6,0.936,0.0,0.0,22.0,22,22
2026-03-02,01:00,12,0.0,0.0,1.8,0.002,-1476.5,-1.476,1474.8,1.475,0.0,0.0,22.0,22,22
2026-03-02,02:00,12,0.0,0.0,0.0,0.0,-967.1,-0.967,967.1,0.967,0.0,0.0,22.0,22,22
2026-03-02,03:00,12,0.0,0.0,0.0,0.0,-879.1,-0.879,879.1,0.879,0.0,0.0,22.0,22,22
2026-03-02,04:00,12,0.0,0.0,0.0,0.0,-639.2,-0.639,639.2,0.639,0.0,0.0,22.0,22,22
2026-03-02,05:00,12,0.0,0.0,0.0,0.0,-691.9,-0.692,691.9,0.692,0.0,0.0,22.0,22,22
2026-03-02,06:00,12,122.8,0.123,3.0,0.003,-462.9,-0.463,582.7,0.583,0.0,0.0,22.0,22,22
2026-03-02,07:00,12,751.6,0.752,122.9,0.123,-127.2,-0.127,755.8,0.756,0.0,0.0,22.7,22,23
2026-03-02,08:00,12,1605.2,1.605,616.5,0.617,-132.4,-0.132,1121.1,1.121,0.0,0.0,24.7,23,28
2026-03-02,09:00,12,1949.7,1.95,946.4,0.946,-106.5,-0.106,1109.8,1.11,0.0,0.0,30.9,28,34
2026-03-02,10:00,12,3120.0,3.12,1766.6,1.767,-388.4,-0.388,1741.8,1.742,0.0,0.0,40.7,35,46
2026-03-02,11:00,12,2810.0,2.81,1723.9,1.724,-48.2,-0.048,1134.3,1.134,0.0,0.0,52.2,47,58
2026-03-02,12:00,12,1180.2,1.18,-257.4,-0.257,-52.2,-0.052,1489.9,1.49,0.0,0.0,58.9,58,60
2026-03-02,13:00,12,1069.2,1.069,-69.8,-0.07,-42.7,-0.043,1181.7,1.182,0.0,0.0,57.2,57,58
2026-03-02,14:00,12,1685.9,1.686,450.8,0.451,-60.5,-0.06,1295.6,1.296,0.0,0.0,61.2,59,63
2026-03-02,15:00,12,1841.9,1.842,595.8,0.596,-60.6,-0.061,1306.8,1.307,0.0,0.0,65.2,63,66
2026-03-02,16:00,12,1035.0,1.035,-160.8,-0.161,-48.0,-0.048,1243.8,1.244,0.0,0.0,66.0,65,67
2026-03-02,17:00,12,360.3,0.36,-896.2,-0.896,-48.2,-0.048,1304.7,1.305,0.0,0.0,62.3,59,65
2026-03-02,18:00,12,10.7,0.011,-1185.7,-1.186,-71.2,-0.071,1267.6,1.268,0.0,0.0,53.6,48,58
2026-03-02,19:00,12,0.0,0.0,-1276.9,-1.277,-102.3,-0.102,1379.2,1.379,0.0,0.0,43.2,40,47
2026-03-02,20:00,12,0.0,0.0,-1009.8,-1.01,-102.3,-0.102,1112.1,1.112,0.0,0.0,35.9,33,39
2026-03-02,21:00,12,0.0,0.0,-1052.0,-1.052,-102.3,-0.102,1154.3,1.154,0.0,0.0,28.5,25,32
2026-03-02,22:00,12,0.0,0.0,-513.4,-0.513,-552.2,-0.552,1065.6,1.066,0.0,0.0,22.0,20,25
2026-03-02,23:00,12,0.0,0.0,0.0,0.0,-1004.8,-1.005,1004.8,1.005,0.0,0.0,21.0,21,21
2026-03-03,00:00,12,0.0,0.0,9.8,0.01,-1010.2,-1.01,1000.4,1.0,0.0,0.0,21.0,21,21
2026-03-03,01:00,12,0.0,0.0,0.0,0.0,-700.0,-0.7,700.0,0.7,0.0,0.0,21.0,21,21
2026-03-03,02:00,12,0.0,0.0,0.0,0.0,-632.3,-0.632,632.3,0.632,0.0,0.0,21.0,21,21
2026-03-03,03:00,12,0.0,0.0,0.0,0.0,-1208.2,-1.208,1208.2,1.208,0.0,0.0,21.0,21,21
2026-03-03,04:00,12,0.0,0.0,0.0,0.0,-629.6,-0.63,629.6,0.63,0.0,0.0,21.0,21,21
2026-03-03,05:00,12,0.0,0.0,4.2,0.004,-584.7,-0.585,580.4,0.58,0.0,0.0,21.0,21,21
2026-03-03,06:00,12,110.0,0.11,3.4,0.003,-586.3,-0.586,692.9,0.693,0.0,0.0,21.0,21,21
2026-03-03,07:00,12,887.0,0.887,123.5,0.123,-251.7,-0.252,1015.2,1.015,0.0,0.0,22.0,22,22
2026-03-03,08:00,12,1707.8,1.708,780.3,0.78,-181.2,-0.181,1108.8,1.109,0.0,0.0,24.8,23,28
2026-03-03,09:00,12,2708.4,2.708,1905.0,1.905,-10.7,-0.011,814.1,0.814,0.0,0.0,34.8,29,41
2026-03-03,10:00,12,3589.8,3.59,2870.6,2.871,-13.4,-0.013,732.7,0.733,0.0,0.0,51.2,43,60
2026-03-03,11:00,12,4395.8,4.396,3389.5,3.389,-18.7,-0.019,1024.9,1.025,0.0,0.0,73.2,62,85
2026-03-03,12:00,12,4955.8,4.956,1952.9,1.953,2112.2,2.112,890.6,0.891,0.0,0.0,95.2,87,100
2026-03-03,13:00,12,4647.1,4.647,0.0,0.0,3794.8,3.795,852.2,0.852,0.0,0.0,100.0,100,100
2026-03-03,14:00,12,3487.9,3.488,-3573.2,-3.573,657.3,0.657,6403.8,6.404,0.0,0.0,91.1,75,100
2026-03-03,15:00,12,2009.4,2.009,-6680.2,-6.68,-532.1,-0.532,9221.7,9.222,0.0,0.0,49.4,26,71
2026-03-03,16:00,12,940.4,0.94,-617.7,-0.618,-7033.2,-7.033,8591.3,8.591,0.0,0.0,20.9,20,21
2026-03-03,17:00,12,232.8,0.233,0.0,0.0,-966.9,-0.967,1199.8,1.2,0.0,0.0,21.0,21,21
2026-03-03,18:00,12,8.1,0.008,0.0,0.0,-1160.7,-1.161,1168.8,1.169,0.0,0.0,21.0,21,21
2026-03-03,19:00,12,0.0,0.0,7.8,0.008,-1221.8,-1.222,1214.1,1.214,0.0,0.0,21.0,21,21
2026-03-03,20:00,12,0.0,0.0,0.0,0.0,-1243.3,-1.243,1243.3,1.243,0.0,0.0,21.0,21,21
2026-03-03,21:00,12,0.0,0.0,0.0,0.0,-916.8,-0.917,916.8,0.917,0.0,0.0,21.0,21,21
2026-03-03,22:00,12,0.0,0.0,0.0,0.0,-1293.6,-1.294,1293.6,1.294,0.0,0.0,21.2,21,22
2026-03-03,23:00,12,0.0,0.0,0.0,0.0,-1071.2,-1.071,1071.2,1.071,0.0,0.0,22.0,22,22
2026-03-04,00:00,12,0.0,0.0,2.2,0.002,-826.2,-0.826,824.0,0.824,0.0,0.0,22.0,22,22
2026-03-04,01:00,12,0.0,0.0,0.0,0.0,-1160.8,-1.161,1160.8,1.161,0.0,0.0,22.0,22,22
2026-03-04,02:00,12,0.0,0.0,0.0,0.0,-640.3,-0.64,640.3,0.64,0.0,0.0,22.0,22,22
2026-03-04,03:00,12,0.0,0.0,1.8,0.002,-587.7,-0.588,585.9,0.586,0.0,0.0,22.0,22,22
2026-03-04,04:00,12,0.0,0.0,1.2,0.001,-663.4,-0.663,662.2,0.662,0.0,0.0,22.0,22,22
2026-03-04,05:00,12,0.0,0.0,0.0,0.0,-618.7,-0.619,618.7,0.619,0.0,0.0,22.0,22,22
2026-03-04,06:00,12,93.2,0.093,0.0,0.0,-441.2,-0.441,534.4,0.534,0.0,0.0,22.0,22,22
2026-03-04,07:00,12,924.0,0.924,320.7,0.321,-32.5,-0.033,635.8,0.636,0.0,0.0,22.9,22,24
2026-03-04,08:00,12,1760.8,1.761,1040.7,1.041,2.8,0.003,717.4,0.717,0.0,0.0,28.2,25,32
2026-03-04,09:00,12,2747.4,2.747,2016.5,2.017,-47.2,-0.047,778.2,0.778,0.0,0.0,38.2,33,43
2026-03-04,10:00,12,3786.9,3.787,2874.8,2.875,-17.5,-0.018,929.7,0.93,0.0,0.0,52.8,44,62
2026-03-04,11:00,12,4325.6,4.326,2873.6,2.874,-45.8,-0.046,1497.8,1.498,0.0,0.0,74.4,64,83
2026-03-04,12:00,12,4993.2,4.993,2107.8,2.108,1575.8,1.576,1309.6,1.31,0.0,0.0,93.9,85,100
2026-03-04,13:00,12,4485.3,4.485,0.0,0.0,3603.9,3.604,881.4,0.881,0.0,0.0,100.0,100,100
2026-03-04,14:00,12,3476.8,3.477,0.0,0.0,2706.8,2.707,770.1,0.77,0.0,0.0,100.0,100,100
2026-03-04,15:00,12,2002.8,2.003,-5158.2,-5.158,-55.4,-0.055,7216.3,7.216,0.0,0.0,84.9,63,100
2026-03-04,16:00,12,962.3,0.962,-2951.8,-2.952,-236.8,-0.237,4150.8,4.151,0.0,0.0,44.9,40,58
