Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2026-02-01,00:00,12,0.0,0.0,-543.8,-0.544,-97.0,-0.097,640.8,0.641,0.0,0.0,42.1,40,44
2026-02-01,01:00,12,0.0,0.0,-654.2,-0.654,-93.0,-0.093,747.2,0.747,0.0,0.0,37.6,36,40
2026-02-01,02:00,12,0.0,0.0,-578.1,-0.578,-94.3,-0.094,672.4,0.672,0.0,0.0,33.5,32,35
2026-02-01,03:00,12,0.0,0.0,-365.2,-0.365,-86.3,-0.086,451.5,0.452,0.0,0.0,29.9,29,31
2026-02-01,04:00,12,0.0,0.0,-366.9,-0.367,-82.3,-0.082,449.2,0.449,0.0,0.0,27.1,26,28
2026-02-01,05:00,12,0.0,0.0,-369.7,-0.37,-82.3,-0.082,452.0,0.452,0.0,0.0,24.4,23,26
2026-02-01,06:00,12,29.2,0.029,-317.2,-0.317,-83.8,-0.084,430.2,0.43,0.0,0.0,21.7,21,23
2026-02-01,07:00,12,454.0,0.454,115.2,0.115,-94.6,-0.095,433.4,0.433,0.0,0.0,21.0,21,21
2026-02-01,08:00,12,853.0,0.853,286.2,0.286,-67.5,-0.068,634.2,0.634,0.0,0.0,21.8,21,23
2026-02-01,09:00,12,1861.7,1.862,1063.9,1.064,-10.7,-0.011,808.4,0.808,0.0,0.0,26.3,23,30
2026-02-01,10:00,12,3117.5,3.118,2103.6,2.104,-13.3,-0.013,1027.2,1.027,0.0,0.0,37.5,31,45
2026-02-01,11:00,12,2733.4,2.733,2008.3,2.008,-13.4,-0.013,738.5,0.739,0.0,0.0,53.4,47,59
2026-02-01,12:00,12,3834.8,3.835,2439.9,2.44,-57.9,-0.058,1452.8,1.453,0.0,0.0,72.0,62,79
2026-02-01,13:00,12,2391.6,2.392,1407.7,1.408,-28.2,-0.028,1012.2,1.012,0.0,0.0,82.8,79,87
2026-02-01,14:00,12,3016.1,3.016,1918.8,1.919,212.7,0.213,884.7,0.885,0.0,0.0,95.3,88,99
2026-02-01,15:00,12,1582.3,1.582,-129.9,-0.13,478.2,0.478,1234.0,1.234,0.0,0.0,99.6,99,100
2026-02-01,16:00,12,640.2,0.64,-233.2,-0.233,75.8,0.076,797.5,0.797,0.0,0.0,98.5,98,99
2026-02-01,17:00,12,139.2,0.139,-566.3,-0.566,-12.0,-0.012,717.6,0.718,0.0,0.0,95.4,93,97
2026-02-01,18:00,12,0.0,0.0,-1260.9,-1.261,-84.7,-0.085,1345.6,1.346,0.0,0.0,88.7,84,93
2026-02-01,19:00,12,0.0,0.0,-1097.3,-1.097,-106.3,-0.106,1203.7,1.204,0.0,0.0,79.8,76,84
2026-02-01,20:00,12,0.0,0.0,-1227.3,-1.227,-109.0,-0.109,1336.3,1.336,0.0,0.0,72.2,68,76
2026-02-01,21:00,12,0.0,0.0,-987.5,-0.988,-109.1,-0.109,1096.6,1.097,0.0,0.0,63.0,60,67
2026-02-01,22:00,12,0.0,0.0,-693.6,-0.694,-106.5,-0.106,800.1,0.8,0.0,0.0,56.8,55,59
2026-02-01,23:00,12,0.0,0.0,-856.4,-0.856,-102.4,-0.102,958.8,0.959,0.0,0.0,51.6,49,54
2026-02-02,00:00,12,0.0,0.0,-707.6,-0.708,-98.3,-0.098,805.9,0.806,0.0,0.0,46.2,44,48
2026-02-02,01:00,12,0.0,0.0,-568.3,-0.568,-91.7,-0.092,660.0,0.66,0.0,0.0,41.2,39,43
2026-02-02,02:00,12,0.0,0.0,-442.0,-0.442,-87.7,-0.088,529.7,0.53,0.0,0.0,37.3,36,39
2026-02-02,03:00,12,0.0,0.0,-454.4,-0.454,-90.3,-0.09,544.8,0.545,0.0,0.0,34.2,33,36
2026-02-02,04:00,12,0.0,0.0,-413.7,-0.414,-87.7,-0.088,501.3,0.501,0.0,0.0,31.2,30,33
2026-02-02,05:00,12,0.0,0.0,-473.8,-0.474,-89.0,-0.089,562.8,0.563,0.0,0.0,28.1,27,30
2026-02-02,06:00,12,31.8,0.032,-424.2,-0.424,-21.6,-0.022,477.6,0.478,0.0,0.0,25.0,24,26
2026-02-02,07:00,12,532.8,0.533,21.6,0.022,0.0,0.0,511.2,0.511,0.0,0.0,23.0,23,23
2026-02-02,08:00,12,1142.8,1.143,446.4,0.446,-12.0,-0.012,708.3,0.708,0.0,0.0,24.8,24,26
2026-02-02,09:00,12,2254.8,2.255,1425.8,1.426,-12.0,-0.012,841.0,0.841,0.0,0.0,30.9,27,36
2026-02-02,10:00,12,3165.4,3.165,2519.7,2.52,-4.0,-0.004,649.8,0.65,0.0,0.0,44.0,37,52
2026-02-02,11:00,12,4235.8,4.236,3637.4,3.637,-10.7,-0.011,609.0,0.609,0.0,0.0,65.4,54,77
2026-02-02,12:00,12,4558.8,4.559,2805.6,2.806,452.8,0.453,1300.5,1.3,0.0,0.0,89.8,79,97
2026-02-02,13:00,12,4011.8,4.012,503.9,0.504,2357.2,2.357,1150.7,1.151,0.0,0.0,99.6,98,100
2026-02-02,14:00,12,2693.3,2.693,0.0,0.0,1244.8,1.245,1448.5,1.449,0.0,0.0,100.0,100,100
2026-02-02,15:00,12,1689.6,1.69,-36.9,-0.037,464.7,0.465,1261.8,1.262,0.0,0.0,99.8,99,100
2026-02-02,16:00,12,724.2,0.724,-706.2,-0.706,-22.7,-0.023,1453.0,1.453,0.0,0.0,96.9,94,99
2026-02-02,17:00,12,148.8,0.149,-885.5,-0.886,-45.4,-0.045,1079.8,1.08,0.0,0.0,91.0,88,94
2026-02-02,18:00,12,1.0,0.001,-1009.7,-1.01,-76.7,-0.077,1087.3,1.087,0.0,0.0,84.3,81,88
2026-02-02,19:00,12,0.0,0.0,-814.3,-0.814,-94.2,-0.094,908.6,0.909,0.0,0.0,78.2,75,81
2026-02-02,20:00,12,0.0,0.0,-748.2,-0.748,-90.2,-0.09,838.5,0.839,0.0,0.0,72.3,70,75
2026-02-02,21:00,12,0.0,0.0,-714.3,-0.714,-98.3,-0.098,812.7,0.813,0.0,0.0,66.9,64,70
2026-02-02,22:00,12,0.0,0.0,-644.1,-0.644,-107.8,-0.108,751.8,0.752,0.0,0.0,61.9,60,64
2026-02-02,23:00,12,0.0,0.0,-626.2,-0.626,-99.8,-0.1,725.9,0.726,0.0,0.0,57.4,55,59
2026-02-03,00:00,12,0.0,0.0,-686.2,-0.686,-101.0,-0.101,787.2,0.787,0.0,0.0,53.0,51,55
2026-02-03,01:00,12,0.0,0.0,-567.8,-0.568,-90.3,-0.09,658.1,0.658,0.0,0.0,48.4,47,50
2026-02-03,02:00,12,0.0,0.0,-582.2,-0.582,-90.3,-0.09,672.5,0.672,0.0,0.0,44.4,42,46
2026-02-03,03:00,12,0.0,0.0,-569.5,-0.57,-97.0,-0.097,666.5,0.666,0.0,0.0,40.2,38,42
2026-02-03,04:00,12,0.0,0.0,-473.8,-0.474,-95.7,-0.096,569.4,0.569,0.0,0.0,36.4,35,38
2026-02-03,05:00,12,0.0,0.0,-491.8,-0.492,-90.3,-0.09,582.1,0.582,0.0,0.0,33.1,32,35
2026-02-03,06:00,12,36.7,0.037,-435.6,-0.436,-17.5,-0.018,489.8,0.49,0.0,0.0,29.8,28,31
2026-02-03,07:00,12,529.8,0.53,59.8,0.06,-4.0,-0.004,473.9,0.474,0.0,0.0,28.0,28,28
2026-02-03,08:00,12,1138.8,1.139,470.3,0.47,-12.0,-0.012,680.5,0.68,0.0,0.0,29.8,28,32
2026-02-03,09:00,12,2266.3,2.266,1408.9,1.409,-9.4,-0.009,866.8,0.867,0.0,0.0,36.2,32,42
2026-02-03,10:00,12,3115.1,3.115,2312.0,2.312,-8.0,-0.008,811.1,0.811,0.0,0.0,50.2,43,58
2026-02-03,11:00,12,4259.8,4.26,2956.7,2.957,-43.0,-0.043,1346.1,1.346,0.0,0.0,68.0,59,78
2026-02-03,12:00,12,4648.0,4.648,2655.6,2.656,508.1,0.508,1484.3,1.484,0.0,0.0,89.6,80,97
2026-02-03,13:00,12,4272.8,4.273,507.3,0.507,2211.0,2.211,1554.5,1.554,0.0,0.0,99.6,98,100
2026-02-03,14:00,12,2607.8,2.608,0.0,0.0,1163.3,1.163,1444.4,1.444,0.0,0.0,100.0,100,100
2026-02-03,15:00,12,1653.1,1.653,0.0,0.0,411.5,0.412,1241.6,1.242,0.0,0.0,100.0,100,100
2026-02-03,16:00,12,656.4,0.656,-5575.8,-5.576,-868.1,-0.868,7100.2,7.1,0.0,0.0,84.8,62,100
2026-02-03,17:00,12,136.2,0.136,-5429.4,-5.429,-3187.8,-3.188,8753.4,8.753,0.0,0.0,34.6,20,57
2026-02-03,18:00,12,0.6,0.001,0.0,0.0,-5663.4,-5.663,5664.0,5.664,0.0,0.0,21.0,21,21
2026-02-03,19:00,12,0.0,0.0,4.8,0.005,-924.9,-0.925,920.2,0.92,0.0,0.0,21.0,21,21
